text,label
ham,Hãy đến cho đến Jurong Point, điên rồ .. chỉ có sẵn trong Bugis n World la e buffet ... cine có amore wat ...,,,
ham,Ok lar ... nói đùa wif u oni ...
spam,Nhập viện miễn phí trong 2 WKLY Comp để giành chiến thắng FA Cup Final TKTS ngày 21 tháng 5 năm 2005. Văn bản FA đến 87121 để nhận câu hỏi nhập cảnh (tỷ lệ STD TXT) T & C áp dụng 08452810075over18's
ham,Bạn không nói quá sớm bạn đã nói
ham,Không, tôi không nghĩ anh ấy đến USF, anh ấy sống quanh đây
spam,Freemsg Này, em yêu bây giờ đã được 3 tuần và không có lời nào! Tôi muốn một số niềm vui bạn vẫn còn cho nó? TB OK! XXX STD CHGS để gửi, �1,50 đến RCV
ham,Ngay cả anh trai tôi cũng không thích nói chuyện với tôi. Họ đối xử với tôi như bằng sáng chế AIDS.
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi. Nhấn *9 để sao chép bạn bè Callertune của bạn
spam,NGƯỜI CHIẾN THẮNG!! Là một khách hàng mạng có giá trị, bạn đã được chọn để nhận �900 phần thưởng giải thưởng! Để yêu cầu gọi 09061701461. Mã yêu cầu KL341. Chỉ có giá trị 12 giờ.
spam,Có di động của bạn 11 tháng trở lên? Bạn có quyền cập nhật lên các điện thoại di động màu mới nhất với camera miễn phí! Gọi cho bản cập nhật di động CO miễn phí theo số 08002986030
ham,Tôi sẽ về nhà sớm và tôi không muốn nói về những thứ này nữa tối nay, K? Hôm nay tôi đã khóc đủ.
spam,Sáu cơ hội để giành được tiền mặt! Từ 100 đến 20.000 pound TXT> CSH11 và gửi tới 87575. Chi phí 150p/ngày, 6 ngày, 16+ TSANDC áp dụng Trả lời HL 4 Thông tin
spam,CẤP BÁCH! Bạn đã giành được một thành viên miễn phí trong 1 tuần trong giải thưởng giải thưởng �100.000 của chúng tôi! TXT Từ: Yêu cầu NO: 81010 T & C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,Tôi đã tìm kiếm những từ thích hợp để cảm ơn bạn vì hơi thở này. Tôi hứa rằng tôi sẽ không nhận sự giúp đỡ của bạn là điều hiển nhiên và sẽ thực hiện lời hứa của tôi. Bạn đã rất tuyệt vời và là một phước lành mọi lúc.
ham,Tôi có một cuộc hẹn vào Chủ nhật với Will !!
spam,Để sử dụng tín dụng của bạn, nhấp vào liên kết WAP trong thông báo TXT tiếp theo hoặc nhấp vào đây >> http: // wap. xxxmobilemovieclub.com?n=QJKGighJJGCBL
ham,Oh k ... tôi đang xem ở đây 
ham,Eh bạn nhớ làm thế nào 2 đánh vần tên của anh ấy ... vâng tôi đã làm. Anh v nghịch ngợm làm cho đến khi tôi v ướt.
ham,Tốt nếu đó là cách bạn cảm thấy. Đó là cách mà gota b của nó
spam,Anh v Macedonia - Đừng bỏ lỡ các mục tiêu/tin tức của đội. TXT UR Đội tuyển quốc gia đến 87077, ví dụ như 87077 Hãy thử: Wales, Scotland 4TXT/̼1.20 POBOXOX36504W45WQ 16+
ham,Đó có phải là nghiêm túc cách bạn đánh vần tên của anh ấy?
ham,Tôi sẽ cố gắng trong 2 tháng ha ha chỉ nói đùa
ham,Vì vậy, trả tiền đầu tiên ... sau đó khi da stock comin
ham,Phía sau tôi hoàn thành bữa trưa của mình sau đó tôi đi xuống. Ard 3 smth lor. Bạn đã hoàn thành bữa trưa của bạn rồi?
ham,Ffffffffff. Được rồi, tôi không thể gặp bạn sớm hơn?
ham,Chỉ buộc mình phải ăn một lát. Tôi thực sự không đói tho. Điều này thật tệ. Mark đang lo lắng. Anh ấy biết tôi bị bệnh khi tôi từ chối pizza. Cười
ham,Lol bạn luôn luôn thuyết phục.
ham,Bạn đã bắt xe buýt? Bạn đang chiên một quả trứng? Bạn đã pha trà? Bạn đang ăn trái của mẹ bạn qua bữa tối? Bạn có cảm thấy tình yêu của tôi không?
ham,Tôi trở lại & amp; Chúng tôi đang đóng gói xe bây giờ, tôi sẽ cho bạn biết nếu có phòng
ham,Ahhh. Công việc. Tôi mơ hồ nhớ điều đó! Nó làm gì cảm thấy như thế nào? Cười
ham,Đợi đã vẫn không rõ ràng, bạn không chắc chắn về việc tôi bị mỉa mai hay đó là lý do tại sao X không muốn sống với chúng tôi
ham,Vâng, anh ấy đã vào lúc 2 tuổi và V xin lỗi. N đã rơi ra ngoài và cô ấy là một đứa trẻ hư hỏng và anh ta bị cuốn vào đó. Cho đến 2! Nhưng chúng tôi sẽ không đến đó! Không làm quá tệ cổ vũ. Bạn?
ham,K Hãy cho tôi biết bất cứ điều gì về bạn.
ham,Vì sợ ngất xỉu với tất cả những công việc nhà mà bạn vừa làm? Nhanh chóng có một cuppa
spam,Cảm ơn bạn đã đăng ký Ringtone UK, điện thoại di động của bạn sẽ được tính phí �5/tháng, vui lòng xác nhận bằng cách trả lời có hoặc không. Nếu bạn trả lời không, bạn sẽ không bị tính phí
ham,Yup ... ok tôi về nhà hãy xem thời gian rồi tôi tin nhắn �_ một lần nữa ... Xuhui sẽ học vào ngày 2 tháng 5 nhưng bài học của cô ấy là lúc 8 giờ sáng
ham,Rất tiếc, tôi sẽ cho bạn biết khi bạn cùng phòng của tôi xong
ham,Tôi thấy chữ B trên xe của tôi
ham,Bất cứ điều gì ... bạn quyết định ...
ham,Xin chào! Bạn thế nào và thứ bảy đã đi như thế nào? Tôi chỉ nhắn tin để xem bạn có quyết định làm bất cứ điều gì Tomo không. Không phải là tôi đang cố mời bản thân hay bất cứ điều gì!
ham,Xin vui lòng đi trước với Watts. Tôi chỉ muốn chắc chắn. Có một ngày cuối tuần tuyệt vời. Abiola
ham,Tôi đã quên nói với bạn? Tôi muốn bạn, tôi cần bạn, tôi khao khát bạn ... nhưng hầu hết tất cả ... tôi yêu bạn của tôi là chiến mã Ả Rập ngọt ngào của tôi ... mmmmmm ... Yummy
spam,07732584351 - Rodger Burns - MSG = Chúng tôi đã cố gắng gọi cho bạn trả lời của bạn cho SMS của chúng tôi cho một máy quay Nokia Mobile + miễn phí miễn phí. Vui lòng gọi ngay 08000930705 để giao hàng vào ngày mai
ham,Bạn đang nhìn thấy ai?
ham,Tuyệt vời! Tôi hy vọng bạn thích người đàn ông của bạn rất tốt. Tôi là & lt;#& gt; inch ...
ham,Không có cuộc gọi..messages..missed cuộc gọi
ham,Bạn đã không được tiêm chủng Hep B ở Nigeria.
ham,Đủ công bằng, bất cứ điều gì đang xảy ra?
ham,Vâng hy vọng, nếu Tyler không thể làm điều đó, tôi có thể hỏi xung quanh một chút
ham,Bạn không biết tôi bướng bỉnh như thế nào. Tôi thậm chí không muốn đến bệnh viện. Tôi cứ nói với Mark tôi không phải là một kẻ hút yếu. Bệnh viện dành cho những kẻ hút yếu.
ham,Những gì bạn nghĩ về tôi. Lần đầu tiên bạn nhìn thấy tôi trong lớp.
ham,Một gram thường chạy như & lt;#& gt; , một nửa thứ tám là thông minh hơn và giúp bạn gần như toàn bộ gram thứ hai cho & lt;#& gt;
ham,K FYI X có một chuyến đi vào sáng sớm mai nhưng anh ấy đã gặp nạn tại chỗ của chúng tôi tối nay
ham,Ồ. Tôi chưa bao giờ nhận ra rằng bạn đã rất bối rối bởi những chỗ ở của bạn. Tôi nghĩ bạn thích nó, vì tôi đang làm tốt nhất có thể và bạn luôn có vẻ rất hạnh phúc về \ hang . Tôi xin lỗi căn phòng của bạn đã rất xấu hổ. 
spam,TIN NHẮN. AC SPTV: Quỷ New Jersey và Detroit Red Wings chơi khúc côn cầu trên băng. Đúng hay không chính xác? Kết thúc? Trả lời kết thúc sptv
ham,Bạn có biết Mallika Sherawat đã làm gì ngày hôm qua không? Tìm hiểu ngay @ & lt; url & gt;
spam,Chúc mừng! Điện ảnh đặc biệt 1 năm cho 2 là của bạn. Gọi 09061209465 ngay! C Suprman V, Matrix3, StarWars3, vv Tất cả 4 miễn phí! BX420-IP4-5we. 150pm. Đừng bỏ lỡ!
ham,Xin lỗi, tôi sẽ gọi sau trong cuộc họp.
ham,Cho biết bạn đã đạt được ở đâu
ham,Có..Gauti và Sehwag ra khỏi loạt ODI.
ham,Bạn sẽ phải lấy một chiếc burger $ 1 cho chính mình trên đường về nhà. Tôi thậm chí không thể di chuyển. Đau đớn đang giết chết tôi.
ham,Ha ha ha trò đùa hay. Cô gái là người tìm kiếm tình huống.
ham,Nó là một phần của việc kiểm tra IQ
ham,Xin lỗi bạn cùng phòng của tôi đã mất mãi mãi, có ổn không nếu tôi đến bây giờ?
ham,OK Lar Tôi kiểm tra kỹ Wif Da Hair Chail đã anh ấy nói Wun Cut V Short. Anh ấy nói sẽ cắt cho đến khi tôi trông đẹp.
spam,Là một khách hàng có giá trị, tôi vui mừng khuyên bạn rằng sau khi xem xét gần đây về mob của bạn, bạn được trao giải thưởng thưởng �1500, hãy gọi 09066364589
ham,Hôm nay là \ bài hát dành riêng cho ngày .. \ Bạn sẽ dành bài hát nào cho tôi?
spam,Urgent Ur đã trao một chuyến đi miễn phí cho Eurodisinc Trav, ACO & Entry41 hoặc �1000. Để yêu cầu TXT DIS đến 87121 18+6*1.50 (Morefrmmob. Shracomorsglsuplt) 10, LS1 3AJ
spam,Bạn có nghe nói về \ mới Barbie \ ? Nó đi kèm với tất cả các thứ của Ken!
ham,Tôi máy bay để cho vào cuối tháng này.
ham,Người đàn ông may mắn ... sau đó có thể tiết kiệm tiền ... hee ...
ham,Hoàn thành lớp học ở đâu.
ham,Chào em yêu, tôi đang ở nhà bây giờ muốn làm gì đó? Xx
ham,K..k Bạn đang ở đâu? Bạn đã biểu diễn như thế nào?
ham,Bạn có thể gọi cho tôi ngay bây giờ ...
ham,Tôi đang đợi Machan. Gọi cho tôi một lần bạn miễn phí.
ham,Điều đó thật tuyệt. Tôi là một quý ông và sẽ đối xử với bạn với nhân phẩm và sự tôn trọng.
ham,Tôi thích bạn rất nhiều nhưng tôi rất nhút nhát pa.
ham,Không hoạt động sau & lt;#& gt; hay cái gì
ham,Nó không giống nhau ở đây. Vẫn đang tìm kiếm một công việc. TA kiếm được bao nhiêu ở đó.
ham,Xin lỗi tôi sẽ gọi lại sau
ham,K. Bạn đã gọi cho tôi ngay bây giờ ah?
ham,Được rồi, tôi đang trên đường về nhà. Xin chào
ham,Bạn sẽ ở vị trí của người đàn ông đó
ham,Yup điểm dừng tiếp theo.
ham,Tôi gọi cho bạn sau, không có mạng. Nếu Urgnt, SMS cho tôi.
ham,Thực sự khi bạn nhận được trên yo? Tôi chỉ cần thêm 2 vé và một chiếc áo khoác nữa và tôi đã hoàn thành. Tôi đã sử dụng tất cả các multis của mình.
ham,Vâng, tôi bắt đầu gửi yêu cầu để thực hiện nhưng nỗi đau đã trở lại nên tôi trở lại giường. Đồng xu đôi tại nhà máy quá. Tôi phải trả tiền trong tất cả các nitros của mình.
ham,Tôi thực sự không muốn nó vẫn còn tối nay em yêu
ham,Ela kano., Il tải xuống, đến với bạn miễn phí ..
ham,Vâng làm! Đừng đứng để đóng cửa tho- bạn sẽ bắt được một cái gì đó!
ham,Xin lỗi trở thành một nỗi đau. Có ổn không nếu chúng ta gặp một đêm khác? Tôi đã dành buổi chiều muộn trong thương vong và điều đó có nghĩa là tôi đã không thực hiện bất kỳ thứ gì trong Y Stuff42moro và điều đó bao gồm tất cả các tờ thời gian của tôi và cái đó. Lấy làm tiếc.
ham,Nụ cười trong niềm vui cười trong nụ cười đau khi rắc rối như mưa như mưa khi sum1 đau bạn cười vì ai đó vẫn thích nhìn thấy bạn mỉm cười !!
spam,Vui lòng gọi cho đại diện dịch vụ khách hàng của chúng tôi theo số 0800 169 6031 từ 10 giờ sáng đến 9 giờ tối vì bạn đã giành được giải thưởng �1000 tiền mặt hoặc �5000!
ham,Không có kế hoạch mua sau. Tôi đã kiểm tra Lido chỉ có 530 chương trình vào buổi chiều. Bạn đã hoàn thành công việc rồi?
spam,Nhạc chuông miễn phí của bạn đang chờ được thu thập. Chỉ cần nhắn tin mật khẩu \ mix \ đến 85069 để xác minh. Nhận Usher và Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16,
ham,Xem phim tiếng Telugu..wat abt u?
ham,tôi hiểu rồi. Khi chúng tôi hoàn thành, chúng tôi có vô số khoản vay để trả
ham,CHÀO. WK đã ổn - bây giờ trên hols! Có trên một chút chạy. Quên rằng tôi có cuộc hẹn làm tóc vào lúc bốn giờ vì vậy cần phải tắm về nhà trước. Điều đó có gây ra prob cho bạn không? \ 




